"TFDR_SG_TP_FEICAO_DIAG_ROCHA";"TFDR_NM_TP_FEICAO_DIAG_ROCHA"
"FDCLT";"Celestita"
"FDCCR";"Cimento Carbonático"
"FDCCL";"Cimento de Calcita"
"FDCSL";"Cimento Silicoso"
"FDCVD";"Cimento Vadoso"
"FDCMP";"Compactado"
"FDCTL";"Cristaloblastos"
"FDFDS";"Filmes Dissolução"
"FDPSM";"Pseudomorfos"
"FDRCR";"Recristalizada"
"FDSLC";"Silicificado"
"FDSLV";"Silte Vadoso"
"FDZND";"Zonada"
"FDRSL";"Rede Sulfática"
"FDRCB";"Rede Carbonática"
"FDRHL";"Rede de Halita"
"FDNBR";"Nódulo de Barita"
"FDNSL";"Nódulo de Sílica"
"FDBIR";"Birdseye"
"FDBCB";"Brecha Colapso/Brecha Solução"
"FDCAL";"Caliche"
"FDCCA";"Concreção Calcítica"
"FDCDO";"Concreção Dolomítica"
"FDCFO";"Concreção Fosfática"
"FDCPI";"Concreção Piritosa"
"FDCSI";"Concreção Silicosa"
"FDCIC";"Cone-In-Cone"
"FDCRO";"Crosta"
"FDEST";"Estilolito"
"FDFAR";"Filmes de Argila"
"FDGLA";"Glauconita"
"FDNAN";"Nódulos de Anidrita"
"FDOXI";"Oxidado"
"FDROS";"Rosetas"
"FDTEE";"Teepee"
"FDGCL";"Grãos Cloritizados"
