"TIPH_SG_TIPO_POROSIDADE_ROCHA";"TIPH_NM_TIPO_POROSIDADE_ROCHA"
"TPFRA";"Arcabouço"
"TPBIO";"Bioturbação"
"TPBBW";"Boring/Burrow"
"TPBRE";"Brecha"
"TPCAN";"Canal"
"TPCVN";"Caverna"
"TPFED";"Fenda"
"TPFEN";"Fenestral"
"TPFRT";"Fratura"
"TPIAG";"Inter-agregados"
"TPERC";"Intercristalina"
"TPITE";"Interelemento"
"TPIGN";"Intergranular"
"TPERP";"Interpartícula"
"TPICN";"Intracristalina"
"TPITA";"Intraelemento"
"TPIGL";"Intragranular"
"TPINT";"Intrapartícula"
"TPMPR";"Microporosidade"
"TPMOL";"Móldica"
"TPSHE";"Shelter"
"TPSRK";"Shrinkage"
"TPVUL";"Vugular"
