"TROC_CD_TIPO_ROCHA";"TROC_NM_TIPO_ROCHA"
"AND";"ANIDRITA"
"ARS";"ARDOSIA"
"ARE";"AREIA"
"ARN";"ARENITO"
"ARB";"ARENITO BIOTURBADO"
"ARG";"ARGILA"
"AGT";"ARGILITO"
"BAS";"BASALTO"
"BRC";"BRECHA"
"CRE";"CALCARENITO"
"CLC";"CALCARIO CRISTALINO"
"CLU";"CALCILUTITO"
"CRU";"CALCIRUDITO"
"CSI";"CALCISSILTITO"
"CRN";"CARNALITA"
"CRV";"CARVAO"
"CZV";"CINZA VULCANICA"
"CGL";"CONGLOMERADO"
"COQ";"COQUINA"
"DIA";"DIABASIO"
"DMT";"DIAMICTITO"
"DOL";"DOLOMITO"
"FLT";"FILITO"
"FLH";"FOLHELHO"
"GIP";"GIPSITA"
"GNA";"GNAISSE"
"GRN";"GRANITO"
"HAL";"HALITA"
"INI";"IGNEA NAO IDENTIFICADA"
"LNT";"LINHITO"
"MRG";"MARGA"
"MRM";"MARMORE"
"MNI";"METAMORFICA NAO IDENTIFICADA"
"MAR";"META-ARENITO"
"MSD";"METASSEDIMENTO"
"MSI";"METASSILTITO"
"QZT";"QUARTZITO"
"SNI";"SAL NAO IDENTIFICADO"
"SLX";"SILEXITO"
"SLT";"SILTITO"
"SLV";"SILVINITA"
"TES";"TALCOESTIVENCITA"
"TQD";"TAQUIDRITA"
"TIL";"TILITO"
"TUF";"TUFO"
"ULB";"ULTRABASICA"
"XST";"XISTO"
"NR ";"NAO REVISTO"
"RDS";"RUDSTONE"
"OCG";"ORTOCONGLOMERADO"
"PNI";"PLUTONICA NAO IDENTIFICADA"
"CAL";"CALCARIO"
"MRD";"MARMORE DOLOMITICO"
"CIM";"CIMENTO"
"BRV";"BRECHA VULCANICA"
"VCL";"ROCHA VULCANOCLASTICA"
"IGB";"IGNIMBRITO"
"RLT";"RIOLITO"
"MDS";"MUDSTONE"
"WKS";"WACKESTONE"
"PKS";"PACKSTONE"
"GRS";"GRAINSTONE"
"LMA";"LIMOARCILITA"
"TOB";"TOBA"
"FNG";"FANGOLITA"
"VNI";"VULCANICA NAO IDENTIFICADA"
"HIC";"HIALOCLASTITO"
"MAF";"ROCHA MAFICA"
"ULT";"ROCHA ULTRA MAFICA"
"GBR";"GABRO"
"AGC";"ARGILITO CARBONOSO"
"AGS";"ARGILITO SILTICO"
"AGB";"ARGILITO TOBACEO"
"ARL";"ARENITO ARGILOSO"
"ARC";"ARENITO CARBONATICO"
"ARO";"ARENITO CONGLOMERATICO"
"ARF";"ARENITO FOSFATICO"
"ART";"ARENITO TOBACEO"
"SID";"SIDERITA"
"PHO";"FOSFORITA"
"CHT";"CHERT"
"TON";"TOBA ARENOSA"
"TOL";"TOBA ARGILOSA"
"TOS";"TOBA SILTICA"
"FLS";"FOLHELHO SILTICO"
"AGN";"ARGILITO ARENOSO"
"AGL";"ARGILITO CARBONATICO"
"BLT";"BIOLITITO"
"BAF";"BAFFLESTONE"
"BIN";"BINDSTONE"
"BDA";"BOUNDSTONE ARBORESCENTE"
"BDL";"BOUNDSTONE LAMINADO"
"BRR";"BRECHA CARBONATICA"
"FLO";"FLOATSTONE"
"FRA";"FRAMESTONE"
"BOU";"BOUNDSTONE"
"LPL";"LAPILITO"
"AGV";"AGLOMERADO"
"GRD";"GRANODIORITO"
"DIO";"DIORITO"
"DCT";"DACITO"
"TQT";"TRAQUITO"
"ADT";"ANDESITO"
"FNT";"FONOLITO"
"SNT";"SIENITO"
"LAT";"LAMITO"
"ETR";"ESTROMATOLITO"
"EBT";"ESTROMATOLITO ARBUSTIFORME"
"EAR";"ESTROMATOLITO ARBORESCENTE"
"EDD";"ESTROMATOLITO DENDRIFORME"
"TRO";"TROMBOLITO"
"DEN";"DENDROLITO"
"LEI";"LEIOLITO"
"ESF";"ESFERULITITO"
"TRV";"TRAVERTINO"
"LMT";"LAMINITO"
"LML";"LAMINITO LISO"
"LMC";"LAMINITO CRENULADO"
"BAC";"BIOACUMULADO"
